task,model_name,last_linear_layer,best_linear_layer,top_n_head
SST5,bert-base-uncased,46.38,46.97,46.0 (-2.1)
SST5,bert-large-uncased,49.0,49.0,51.2 (4.5)
SST5,openai-gpt,45.38,46.11,49.2 (6.7)
SST5,gpt2,41.31,45.34,47.7 (5.3)
SST5,transfo-xl-wt103,42.53,42.53,44.5 (4.7)
TREC,bert-base-uncased,87.4,87.4,93.4 (6.9)
TREC,bert-large-uncased,88.8,91.8,94.4 (2.8)
TREC,openai-gpt,82.4,83.6,91.6 (9.6)
TREC,gpt2,89.8,90.8,94.4 (4.0)
TREC,transfo-xl-wt103,72.2,72.2,87.8 (21.6)
SICKEntailment,bert-base-uncased,61.92,68.2,78.9 (15.7)
SICKEntailment,bert-large-uncased,67.46,75.06,78.5 (4.5)
SICKEntailment,openai-gpt,76.6,76.6,79.5 (3.7)
SICKEntailment,gpt2,63.69,71.46,79.9 (11.8)
SICKEntailment,transfo-xl-wt103,66.37,70.02,75.8 (8.2)
MRPC,bert-base-uncased,66.49,70.78,66.5 (-6.0)
MRPC,bert-large-uncased,68.23,73.33,75.9 (3.5)
MRPC,openai-gpt,66.49,71.3,72.5 (1.7)
MRPC,gpt2,68.17,69.91,71.0 (1.5)
MRPC,transfo-xl-wt103,69.04,69.97,68.2 (-2.5)
